"MABP" "CBFV" "gamma" "nu" "cost" "train.cor" "test.cor" "fold"
"241" 8 4 0.125 0.7 256 0.9908 0.26322480930728 2
"242" 7 1 2 0.1 32 0.9325 0.263219451356989 2
"243" 8 3 0.00048828125 0.7 10000 0.9856 0.26311814113904 1
"244" 8 4 0.0078125 0.8 1024 0.989 0.262784225585353 2
"245" 7 4 0.5 0.6 8 0.991 0.262594688953707 2
"246" 7 4 0.125 0.8 64 0.9901 0.262285154445286 2
"247" 8 4 2 0.8 16 0.9955 0.262078613517115 2
"248" 7 3 0.5 0.3 256 0.9917 0.262071161176591 2
"249" 8 3 0.03125 0.8 0.25 0.9591 0.26187183937973 2
"250" 8 3 0.5 0.4 32 0.9906 0.261528990744446 2
"251" 7 4 0.5 0.5 16 0.9914 0.261193032512634 2
"252" 7 1 0.5 0.2 256 0.9312 0.261164465834161 2
"253" 8 3 0.5 0.3 32 0.9903 0.260940790296663 2
"254" 8 4 0.125 0.8 8 0.9891 0.26070852807227 2
"255" 8 3 0.03125 0.2 128 0.988 0.260325082879594 2
"256" 8 3 2 0.3 32 0.9948 0.259459460731844 2
"257" 8 3 2 0.7 0.5 0.9896 0.259117905931947 2
"258" 8 4 0.03125 0.7 10000 0.9902 0.259106674162627 2
"259" 8 4 0.03125 0.8 128 0.9892 0.259079703182178 2
"260" 8 2 2 0.5 4 0.991 0.258923033990898 2
"261" 8 3 2 0.4 4 0.9926 0.25820914013771 2
"262" 7 1 2 0.1 10000 0.8749 0.258150441600403 2
"263" 3 2 2 0.8 128 0.991 0.257971047621026 2
"264" 8 2 0.03125 0.9 0.5 0.9555 0.257910175346593 2
"265" 8 3 0.125 0.4 256 0.9894 0.257909536437851 2
"266" 8 4 0.5 0.4 512 0.9941 0.257731292313949 2
"267" 8 3 0.125 0.6 256 0.9895 0.257628867518831 2
"268" 3 2 2 0.5 1024 0.9918 0.257139228166849 2
"269" 7 4 0.125 0.7 16 0.9895 0.25694168224693 2
"270" 7 1 0.5 0.2 1024 0.9338 0.256839876267851 2
"271" 7 3 2 0.7 2 0.9917 0.255830546218305 2
"272" 8 4 0.03125 0.6 1024 0.9898 0.255679113933938 2
"273" 8 3 2 0.4 1 0.9907 0.255641570833369 2
"274" 7 4 0.125 0.4 128 0.9904 0.255363672050895 2
"275" 6 1 0.5 0.2 512 0.9309 0.255135864255598 2
"276" 8 4 0.125 0.4 128 0.9904 0.255135798550658 2
"277" 8 4 0.03125 0.9 256 0.9893 0.254967377793932 2
"278" 7 4 0.00048828125 0.8 10000 0.9888 0.254274529758194 2
"279" 8 2 2 0.1 16 0.9891 0.254056131396329 2
"280" 7 3 0.125 0.6 1024 0.9901 0.25401688471964 2
"281" 8 3 0.5 0.7 4 0.9891 0.253737819237536 2
"282" 8 2 2 0.2 8 0.9903 0.253724395843285 2
"283" 8 3 0.125 0.6 512 0.9898 0.253469622894223 2
"284" 7 4 2 0.4 16 0.9954 0.25327093310187 2
"285" 7 3 0.125 0.5 1024 0.99 0.253268599714464 2
"286" 8 2 2 0.4 4 0.9908 0.253230008810001 2
"287" 7 4 0.5 0.7 2 0.9898 0.253162246678072 2
"288" 8 4 0.001953125 0.9 512 0.9849 0.252247846318936 1
"289" 8 2 0.0078125 0.9 2 0.957 0.252150901759588 2
"290" 8 4 2 0.7 4 0.9939 0.25205888852199 2
"291" 8 4 0.001953125 0.9 1024 0.9859 0.251935966190684 1
"292" 8 1 2 0.3 256 0.9562 0.251430111503307 2
"293" 7 4 0.03125 0.8 256 0.9893 0.25137450547475 2
"294" 8 4 0.125 0.4 512 0.991 0.25125564161176 2
"295" 7 1 0.5 0.1 1024 0.9306 0.251054924604425 2
"296" 8 3 0.5 0.4 8 0.9895 0.251005693667007 2
"297" 8 1 0.5 0.2 512 0.9338 0.250967910671661 2
"298" 8 3 0.125 0.7 256 0.9895 0.25069761653389 2
"299" 8 4 2 0.1 32 0.9937 0.250694878311167 2
"300" 8 3 0.5 0.5 32 0.9907 0.249876346938448 2
"301" 8 4 2 0.5 64 0.9976 0.249737508795668 2
"302" 7 2 2 0.9 0.5 0.9879 0.249732423594651 2
"303" 8 2 2 0.2 16 0.991 0.249567015758279 2
"304" 8 3 0.001953125 0.9 512 0.9846 0.24938191750886 1
"305" 5 2 0.5 0.9 1024 0.99 0.248927124045037 2
"306" 8 4 0.03125 0.9 512 0.9894 0.248911232472446 2
"307" 8 3 0.125 0.5 64 0.9888 0.248889017752434 2
"308" 8 1 0.5 0.2 256 0.9329 0.248708508255193 2
"309" 8 2 2 0.3 4 0.9902 0.248230771963243 2
"310" 8 3 0.5 0.7 512 0.9925 0.248072865228485 2
"311" 4 4 2 0.5 16 0.9934 0.247965549026815 1
"312" 6 1 2 0.1 64 0.932 0.247766062346183 2
"313" 8 4 0.03125 0.8 256 0.9893 0.247764745909309 2
"314" 5 1 2 0.1 128 0.9308 0.247471231541016 2
"315" 8 4 0.125 0.6 64 0.9902 0.247128108182625 2
"316" 8 3 0.001953125 0.2 1024 0.9875 0.247084717428005 2
"317" 4 3 2 0.6 256 0.994 0.246930643077453 2
"318" 7 3 0.125 0.6 512 0.9897 0.246390364246421 2
"319" 8 2 0.125 0.4 10000 0.9879 0.246137561301407 2
"320" 8 4 2 0.3 1 0.9914 0.246097387234681 2
"321" 5 1 0.5 0.3 1024 0.9317 0.246067258723353 2
"322" 7 3 0.5 0.5 32 0.9906 0.245819628740581 2
"323" 7 1 0.125 0.4 10000 0.9324 0.245711118395335 2
"324" 8 4 2 0.7 16 0.9955 0.245311474225351 2
"325" 8 3 0.001953125 0.3 1024 0.9878 0.245234894226815 2
"326" 7 4 0.001953125 0.8 10000 0.9889 0.245005270926318 2
"327" 6 1 0.5 0.1 10000 0.9296 0.244810701151451 2
"328" 6 1 0.125 0.2 10000 0.9298 0.244768985274451 2
"329" 6 1 2 0.1 128 0.9336 0.244760874209986 2
"330" 8 2 2 0.3 16 0.992 0.244722175108743 2
"331" 8 2 0.0078125 0.8 4 0.98 0.244506753811907 2
"332" 5 1 0.5 0.1 1024 0.926 0.244255071835684 2
"333" 8 3 0.03125 0.2 64 0.9877 0.244032489418658 2
"334" 8 4 0.001953125 0.1 1024 0.9873 0.243820308370828 2
"335" 7 4 0.5 0.7 8 0.991 0.243531278327959 2
"336" 8 2 0.001953125 0.9 16 0.9811 0.243386715160818 2
"337" 6 1 0.5 0.1 1024 0.9281 0.24337679850331 2
"338" 5 1 2 0.1 64 0.9295 0.243303132217295 2
"339" 8 3 0.03125 0.5 10000 0.9891 0.243246218796584 2
"340" 7 4 0.125 0.9 64 0.9901 0.242977632227288 2
"341" 8 4 2 0.5 2 0.9935 0.242952984509931 2
"342" 8 3 2 0.2 8 0.9921 0.242740919721055 2
"343" 7 1 0.5 0.2 10000 0.9357 0.242511878655979 2
"344" 4 1 2 0.2 512 0.9323 0.242425735028628 2
"345" 7 2 0.5 0.9 32 0.9889 0.242419289620586 2
"346" 8 4 2 0.9 16 0.9955 0.242216200330962 2
"347" 7 3 0.5 0.3 128 0.9912 0.242010046961174 2
"348" 8 2 0.00048828125 0.9 64 0.981 0.241661211238883 2
"349" 7 4 0.03125 0.6 1024 0.9898 0.241216897734208 2
"350" 7 3 2 0.6 1 0.991 0.240440728797347 2
"351" 8 2 2 0.9 1 0.989 0.240105713063199 2
"352" 8 1 2 0.4 128 0.9554 0.239850403273705 2
"353" 7 4 0.125 0.5 128 0.9904 0.239594178563579 2
"354" 8 4 0.0078125 0.9 128 0.9849 0.239446399770442 1
"355" 4 1 2 0.3 512 0.9351 0.239385637520342 2
"356" 4 1 0.5 0.2 10000 0.9295 0.239349728818194 2
